Linha 472 |claim_uid: 3oihkb |cord_uid: vlhbe3bt |title: Senior_medical_students_as_assistants_in_medicine_in_COVID-19_crisis:_a_realist_evaluation_protocol |doi: 10.1136/bmjopen-2020-045822 |numerical_claims: As_more_'lines_of_enquiry'_27_are_identified,_for_example,_through_interviews_with_key_stakeholders_who_have_been_involved_in_initiating_and_developing_the_Assistant_in_Medicine_programme,_these_will_be_followed_up_and_further_literature_searches_will_be_conducted_(dovetailing_onto_our_realist_synthesis). |publish_time: 06/09/2021 |authors: Monrouxe,_Lynn_V,_Hockey,_Peter,_Khanna,_Priya,_Klinner,_Christiane,_Mogensen,_Lise,_O'Mara,_D_A,_Roach,_Abbey,_Tobin,_Stephen,_Davids,_Jennifer_Ann |journal: BMJ_Open |country: Australia |institution: University_of_Sydney
Linha 359 |claim_uid: 7utmfe |cord_uid: ubtb8yj5 |title: Impact_of_the_COVID-19_Pandemic_on_Teacher_Quality_of_Life:_A_Longitudinal_Study_from_before_and_during_the_Health_Crisis |doi: 10.3390/ijerph18073764 |numerical_claims: The_observation_proposed_by_Foundation_Chile_(2020)_about_pre-pandemic_work_exhaustion_among_Chilean_teachers_can_be_confirmed_through_the_present_results,_which_show_that_physical_function_and_role_limitation_(due_to_emotional_problems)_dimensions_alone_are_over_50_points,_corresponding_to_a_welfare_cutoff_point. |publish_time: 04/04/2021 |authors: Lizana,_Pablo_A.,_Vega-Fernadez,_Gustavo,_Gomez-Bruton,_Alejandro,_Leyton,_Bárbara,_Lera,_Lydia |journal: Int_J_Environ_Res_Public_Health |country: Chile |institution: ZZZZ
Linha 453 |claim_uid: 3epjaf |cord_uid: 0yczsrpl |title: Summary_of_the_COVID-19_epidemic_and_estimating_the_effects_of_emergency_responses_in_China |doi: 10.1038/s41598-020-80201-8 |numerical_claims: In_addition,_since_over_80%_of_confirmed_cases_were_reported_in_Hubei_province_(Table_1_:_81,047_cases_were_reported_in_China,_in_www.nature.com/scientificreports/_which_67,990_cases_were_reported_in_Hubei_province),_the_epidemic_characteristics_in_the_rest_part_of_China_may_be_masked_by_that_in_Hubei_province. |publish_time: 12/01/2021 |authors: Tao,_Junwen,_Ma,_Yue,_Luo,_Caiying,_Huang,_Jiaqi,_Zhang,_Tao,_Yin,_Fei |journal: Sci_Rep |country: China,_China |institution: Sichuan_University
Linha 454 |claim_uid: 7jnvwf |cord_uid: 0yczsrpl |title: Summary_of_the_COVID-19_epidemic_and_estimating_the_effects_of_emergency_responses_in_China |doi: 10.1038/s41598-020-80201-8 |numerical_claims: Lai_et_al._predicted_the_confirmed_cases_would_have_been_67-fold_higher_by_29_February_2020_without_the_emergency_response_in_China. |publish_time: 12/01/2021 |authors: Tao,_Junwen,_Ma,_Yue,_Luo,_Caiying,_Huang,_Jiaqi,_Zhang,_Tao,_Yin,_Fei |journal: Sci_Rep |country: China,_China |institution: Sichuan_University
Linha 455 |claim_uid: 7hydai |cord_uid: 0yczsrpl |title: Summary_of_the_COVID-19_epidemic_and_estimating_the_effects_of_emergency_responses_in_China |doi: 10.1038/s41598-020-80201-8 |numerical_claims: As_all_the_emergency_responses_were_launched_within_1_week_after_the_first_confirmed_case,_the_reduction_in_the_average_growth_rate_suggested_that_rapid_growth_of_the_epidemic_can_be_slowed_by_a_timely_emergency_response_after_the_early_detection_of_imported_cases_within_the_critical_period_of_9-14_days. |publish_time: 12/01/2021 |authors: Tao,_Junwen,_Ma,_Yue,_Luo,_Caiying,_Huang,_Jiaqi,_Zhang,_Tao,_Yin,_Fei |journal: Sci_Rep |country: China,_China |institution: Sichuan_University
Linha 456 |claim_uid: 7zwmfk |cord_uid: 0yczsrpl |title: Summary_of_the_COVID-19_epidemic_and_estimating_the_effects_of_emergency_responses_in_China |doi: 10.1038/s41598-020-80201-8 |numerical_claims: Therefore,_for_concentrated_COVID-19_outbreak_areas,_the_growth_of_the_epidemic_would_not_be_easily_controlled_within_the_standard_critical_period_of_9-14_days. |publish_time: 12/01/2021 |authors: Tao,_Junwen,_Ma,_Yue,_Luo,_Caiying,_Huang,_Jiaqi,_Zhang,_Tao,_Yin,_Fei |journal: Sci_Rep |country: China,_China |institution: Sichuan_University
Linha 457 |claim_uid: 5emcto |cord_uid: 0yczsrpl |title: Summary_of_the_COVID-19_epidemic_and_estimating_the_effects_of_emergency_responses_in_China |doi: 10.1038/s41598-020-80201-8 |numerical_claims: And_a_study_in_the_UK_suggested_that_to_avoid_a_rebound,_the_control_measures_should_be_maintained_until_a_vaccine_is_available,_which_might_be_about_18_months. |publish_time: 12/01/2021 |authors: Tao,_Junwen,_Ma,_Yue,_Luo,_Caiying,_Huang,_Jiaqi,_Zhang,_Tao,_Yin,_Fei |journal: Sci_Rep |country: China,_China |institution: Sichuan_University
Linha 458 |claim_uid: 6ztwap |cord_uid: 0yczsrpl |title: Summary_of_the_COVID-19_epidemic_and_estimating_the_effects_of_emergency_responses_in_China |doi: 10.1038/s41598-020-80201-8 |numerical_claims: The_9-14_days_after_the_first_detection_of_imported_cases_could_be_the_critical_period_for_epidemic_prevention_and_control. |publish_time: 12/01/2021 |authors: Tao,_Junwen,_Ma,_Yue,_Luo,_Caiying,_Huang,_Jiaqi,_Zhang,_Tao,_Yin,_Fei |journal: Sci_Rep |country: China,_China |institution: Sichuan_University
Linha 669 |claim_uid: 4nkvsi |cord_uid: rdbgz2lw |title: Spatial_technologies_to_strengthen_traditional_testing_for_SARS-CoV-2 |doi: 10.1016/j.tim.2021.03.003 |numerical_claims: However,_according_to_the_existing_research,_the_sensitivity_of_RT-PCR_could_substantially_vary_and_be_as_low_as_33%. |publish_time: 14/03/2021 |authors: Yang,_Shujuan,_Pan,_Xiongfeng,_Zeng,_Peibin,_Jia,_Peng |journal: Trends_Microbiol |country: China,_China |institution: Sichuan_University
Linha 670 |claim_uid: 9xnude |cord_uid: rdbgz2lw |title: Spatial_technologies_to_strengthen_traditional_testing_for_SARS-CoV-2 |doi: 10.1016/j.tim.2021.03.003 |numerical_claims: For_example,_combining_individual_movement_patterns_of_COVID-19_infected_cases_and_other_citizens_could_determine_one's_contact_history_and_hence_the_level_of_risk_for_COVID-19_infection,_this_method_may_be_made_more_precise_with_the_assistance_of_Bluetooth,_which_could_better_identify_valid_contact_between_individuals_(e.g.,_the_distance_between_two_persons_is_less_than_1.5_m). |publish_time: 14/03/2021 |authors: Yang,_Shujuan,_Pan,_Xiongfeng,_Zeng,_Peibin,_Jia,_Peng |journal: Trends_Microbiol |country: China,_China |institution: Sichuan_University
Linha 369 |claim_uid: 2vaesy |cord_uid: 0jrcvhkd |title: Diagnosis_of_COVID-19,_vitality_of_emerging_technologies_and_preventive_measures |doi: 10.1016/j.cej.2021.130189 |numerical_claims: Moreover,_the_symptoms_can_also_be_the_same_to_influenza_and_3_common_cold_patients. |publish_time: 01/11/2021 |authors: Asif,_Muhammad,_Xu,_Yun,_Xiao,_Fei,_Sun,_Yimin |journal: Chem_Eng_J |country: China |institution: Wuhan_Institute_of_Technology
Linha 370 |claim_uid: 7ioslf |cord_uid: 0jrcvhkd |title: Diagnosis_of_COVID-19,_vitality_of_emerging_technologies_and_preventive_measures |doi: 10.1016/j.cej.2021.130189 |numerical_claims: Even_though,_the_pseudovirus_neutralization_tests_require_live_cells_and_virus_but_the_tests_can_be_executed_in_2_nd_level_biosafety_labs_(BSL2). |publish_time: 01/11/2021 |authors: Asif,_Muhammad,_Xu,_Yun,_Xiao,_Fei,_Sun,_Yimin |journal: Chem_Eng_J |country: China |institution: Wuhan_Institute_of_Technology
Linha 371 |claim_uid: 2nhcdq |cord_uid: 0jrcvhkd |title: Diagnosis_of_COVID-19,_vitality_of_emerging_technologies_and_preventive_measures |doi: 10.1016/j.cej.2021.130189 |numerical_claims: Thus,_after_14_days_of_illness,_SARS-CoV-2_can_be_detected_with_good_accuracy_in_sputum_and_nasal_swabs. |publish_time: 01/11/2021 |authors: Asif,_Muhammad,_Xu,_Yun,_Xiao,_Fei,_Sun,_Yimin |journal: Chem_Eng_J |country: China |institution: Wuhan_Institute_of_Technology
Linha 372 |claim_uid: 2jyith |cord_uid: 0jrcvhkd |title: Diagnosis_of_COVID-19,_vitality_of_emerging_technologies_and_preventive_measures |doi: 10.1016/j.cej.2021.130189 |numerical_claims: The_kit_shows_LOD_of_625_copies/mL_which_confirms_that_the_kit_is_more_sensitive_in_comparison_WHO_suggested_methods_displaying_LOD_of_1250_copies/mL. |publish_time: 01/11/2021 |authors: Asif,_Muhammad,_Xu,_Yun,_Xiao,_Fei,_Sun,_Yimin |journal: Chem_Eng_J |country: China |institution: Wuhan_Institute_of_Technology
Linha 373 |claim_uid: 3sjhnk |cord_uid: 0jrcvhkd |title: Diagnosis_of_COVID-19,_vitality_of_emerging_technologies_and_preventive_measures |doi: 10.1016/j.cej.2021.130189 |numerical_claims: Another_method_based_on_one-step_nested_real-time_RT-PCR_(OSN-qRT-PCR)_has_been_developed_to_detect_SARS-CoV-2_ORF1ab_and_N_genes_with_sensitive_performance_of_1_copy/test_which_is_ten_time_higher_that_rRT-PCR_method. |publish_time: 01/11/2021 |authors: Asif,_Muhammad,_Xu,_Yun,_Xiao,_Fei,_Sun,_Yimin |journal: Chem_Eng_J |country: China |institution: Wuhan_Institute_of_Technology
Linha 374 |claim_uid: 9uelwh |cord_uid: 0jrcvhkd |title: Diagnosis_of_COVID-19,_vitality_of_emerging_technologies_and_preventive_measures |doi: 10.1016/j.cej.2021.130189 |numerical_claims: The_chest_CT_scan_is_a_non-invasive_technique_where_different_cross-sectional_views_are_captured_and_17_then_analyzed_by_radiologists_to_check_for_abnormalities_produced_in_lungs_which_may_diagnose_the_disease. |publish_time: 01/11/2021 |authors: Asif,_Muhammad,_Xu,_Yun,_Xiao,_Fei,_Sun,_Yimin |journal: Chem_Eng_J |country: China |institution: Wuhan_Institute_of_Technology
Linha 375 |claim_uid: 1xcasv |cord_uid: 0jrcvhkd |title: Diagnosis_of_COVID-19,_vitality_of_emerging_technologies_and_preventive_measures |doi: 10.1016/j.cej.2021.130189 |numerical_claims: The_as-prepared_aptamer-PQC_biosensor_has_validated_the_low_detection_limit_of_3.5_ng/mL_for_helicase_protein_and_the_assay_can_be_accomplished_in_one_minute. |publish_time: 01/11/2021 |authors: Asif,_Muhammad,_Xu,_Yun,_Xiao,_Fei,_Sun,_Yimin |journal: Chem_Eng_J |country: China |institution: Wuhan_Institute_of_Technology
Linha 724 |claim_uid: 8rmdqo |cord_uid: x78z7bui |title: The_Zoonotic_diseases,_agricultural_production,_and_impact_channels:_Evidence_from_China |doi: 10.1016/j.gfs.2020.100463 |numerical_claims: The_World_Bank's_and_International_Monetary_Fund's_mid-2020_reports_in_June_project_that_the_global_economic_growth_rate_will_hit_a_negative_growth_of_5.2%_and_4.9%,_respectively. |publish_time: 02/12/2020 |authors: Gong,_Binlei,_Zhang,_Shurui,_Liu,_Xiaoguang,_Chen,_Kevin_Z. |journal: Glob_Food_Sec |country: China |institution: Zhejiang_University
Linha 725 |claim_uid: 4xphgq |cord_uid: x78z7bui |title: The_Zoonotic_diseases,_agricultural_production,_and_impact_channels:_Evidence_from_China |doi: 10.1016/j.gfs.2020.100463 |numerical_claims: The_report_projects_that_global_trade_will_shrink_by_about_20%_in_2020,_and_in_developing_countries,_90-120_million_people_will_fall_into_extreme_poverty,_and_nearly_300_million_people_will_face_food_security_problems. |publish_time: 02/12/2020 |authors: Gong,_Binlei,_Zhang,_Shurui,_Liu,_Xiaoguang,_Chen,_Kevin_Z. |journal: Glob_Food_Sec |country: China |institution: Zhejiang_University
Linha 726 |claim_uid: 5ysiru |cord_uid: x78z7bui |title: The_Zoonotic_diseases,_agricultural_production,_and_impact_channels:_Evidence_from_China |doi: 10.1016/j.gfs.2020.100463 |numerical_claims: In_other_words,_1%_increase_in_incidence_rate_of_zoonotic_diseases_(ZD1_it_)_will_lead_to_k_21_%_change_in_the_k-th_input_(x_k_it_)_and_21_%_change_in_TFP,_whereas_1%_increase_in_death_rate_of_zoonotic_diseases_(ZD2_it_)_will_lead_to_k_22_%_change_in_the_k-th_input_(x_k_it_)_and_22_%_change_in_TFP. |publish_time: 02/12/2020 |authors: Gong,_Binlei,_Zhang,_Shurui,_Liu,_Xiaoguang,_Chen,_Kevin_Z. |journal: Glob_Food_Sec |country: China |institution: Zhejiang_University
Linha 727 |claim_uid: 5suctm |cord_uid: x78z7bui |title: The_Zoonotic_diseases,_agricultural_production,_and_impact_channels:_Evidence_from_China |doi: 10.1016/j.gfs.2020.100463 |numerical_claims: To_compare_the_main_channels_through_which_zoonotic_diseases_affect_each_commodity,_a_standard_growth_accounting_method_)_is_adopted_to_aggregate_the_overall_impacts_on_agricultural_output_through_input_portfolio_and_TFP_as_follows:_which_implies_that_the_change_in_output_(_y_it_)_can_be_decomposed_to_the_contribution_of_inputs_(_K_k=1_β_k_x_k_it_)_and_contribution_of_TFP_(_tfp_it_). |publish_time: 02/12/2020 |authors: Gong,_Binlei,_Zhang,_Shurui,_Liu,_Xiaoguang,_Chen,_Kevin_Z. |journal: Glob_Food_Sec |country: China |institution: Zhejiang_University
Linha 728 |claim_uid: 4jlqek |cord_uid: x78z7bui |title: The_Zoonotic_diseases,_agricultural_production,_and_impact_channels:_Evidence_from_China |doi: 10.1016/j.gfs.2020.100463 |numerical_claims: For_the_seven_grain_crops,_a_1%_increase_in_zoonotic_diseases_leads_to_a_decrease_of_0.020-0.029_percentage_points_of_TFP_(Table_2). |publish_time: 02/12/2020 |authors: Gong,_Binlei,_Zhang,_Shurui,_Liu,_Xiaoguang,_Chen,_Kevin_Z. |journal: Glob_Food_Sec |country: China |institution: Zhejiang_University
Linha 729 |claim_uid: 8umczb |cord_uid: x78z7bui |title: The_Zoonotic_diseases,_agricultural_production,_and_impact_channels:_Evidence_from_China |doi: 10.1016/j.gfs.2020.100463 |numerical_claims: To_sum_up,_all_the_seven_crops_are_expected_to_lose_production_due_to_a_1%_increase_in_zoonotic_diseases,_varying_in_the_range_of_0.020-0.045_percentage_points_for_different_grain_crops. |publish_time: 02/12/2020 |authors: Gong,_Binlei,_Zhang,_Shurui,_Liu,_Xiaoguang,_Chen,_Kevin_Z. |journal: Glob_Food_Sec |country: China |institution: Zhejiang_University
Linha 730 |claim_uid: 5vblah |cord_uid: x78z7bui |title: The_Zoonotic_diseases,_agricultural_production,_and_impact_channels:_Evidence_from_China |doi: 10.1016/j.gfs.2020.100463 |numerical_claims: A_1%_increase_in_zoonotic_diseases_leads_to_a_decrease_of_0.019-0.042_percentage_points_of_TFP,_with_Field_Tomato_suffering_the_most_TFP_loss. |publish_time: 02/12/2020 |authors: Gong,_Binlei,_Zhang,_Shurui,_Liu,_Xiaoguang,_Chen,_Kevin_Z. |journal: Glob_Food_Sec |country: China |institution: Zhejiang_University
Linha 731 |claim_uid: 6vfnlu |cord_uid: x78z7bui |title: The_Zoonotic_diseases,_agricultural_production,_and_impact_channels:_Evidence_from_China |doi: 10.1016/j.gfs.2020.100463 |numerical_claims: To_sum_up,_four_of_the_six_vegetables_are_expected_to_lose_production_due_to_a_1%_increase_in_zoonotic_diseases,_varying_in_the_range_of_0.019-0.064_percentage_points_for_different_grain_crops. |publish_time: 02/12/2020 |authors: Gong,_Binlei,_Zhang,_Shurui,_Liu,_Xiaoguang,_Chen,_Kevin_Z. |journal: Glob_Food_Sec |country: China |institution: Zhejiang_University
Linha 732 |claim_uid: 1ustby |cord_uid: x78z7bui |title: The_Zoonotic_diseases,_agricultural_production,_and_impact_channels:_Evidence_from_China |doi: 10.1016/j.gfs.2020.100463 |numerical_claims: As_for_the_other_five_crops,_a_1%_increase_in_zoonotic_diseases_leads_to_a_decrease_of_0.021-0.048_percentage_points_of_TFP_(Table_4_). |publish_time: 02/12/2020 |authors: Gong,_Binlei,_Zhang,_Shurui,_Liu,_Xiaoguang,_Chen,_Kevin_Z. |journal: Glob_Food_Sec |country: China |institution: Zhejiang_University
Linha 733 |claim_uid: 8phgdz |cord_uid: x78z7bui |title: The_Zoonotic_diseases,_agricultural_production,_and_impact_channels:_Evidence_from_China |doi: 10.1016/j.gfs.2020.100463 |numerical_claims: To_sum_up,_all_the_five_crops_are_expected_to_lose_production_due_to_increase_in_zoonotic_diseases,_varying_in_the_range_of_0.017-0.028_percentage_points_for_different_crops. |publish_time: 02/12/2020 |authors: Gong,_Binlei,_Zhang,_Shurui,_Liu,_Xiaoguang,_Chen,_Kevin_Z. |journal: Glob_Food_Sec |country: China |institution: Zhejiang_University
Linha 734 |claim_uid: 9eqkdf |cord_uid: x78z7bui |title: The_Zoonotic_diseases,_agricultural_production,_and_impact_channels:_Evidence_from_China |doi: 10.1016/j.gfs.2020.100463 |numerical_claims: With_respect_to_the_6_livestock,_a_1%_increase_in_zoonotic_diseases_leads_to_a_decrease_of_0.022-0.036_percentage_points_of_TFP_(Table_5). |publish_time: 02/12/2020 |authors: Gong,_Binlei,_Zhang,_Shurui,_Liu,_Xiaoguang,_Chen,_Kevin_Z. |journal: Glob_Food_Sec |country: China |institution: Zhejiang_University
Linha 735 |claim_uid: 1bdkiv |cord_uid: x78z7bui |title: The_Zoonotic_diseases,_agricultural_production,_and_impact_channels:_Evidence_from_China |doi: 10.1016/j.gfs.2020.100463 |numerical_claims: To_sum_up,_all_the_six_livestock_are_expected_to_lose_production_due_to_increase_in_zoonotic_diseases,_varying_in_the_range_of_0.018-0.040_percentage_points_for_different_livestock. |publish_time: 02/12/2020 |authors: Gong,_Binlei,_Zhang,_Shurui,_Liu,_Xiaoguang,_Chen,_Kevin_Z. |journal: Glob_Food_Sec |country: China |institution: Zhejiang_University
Linha 736 |claim_uid: 1pevso |cord_uid: x78z7bui |title: The_Zoonotic_diseases,_agricultural_production,_and_impact_channels:_Evidence_from_China |doi: 10.1016/j.gfs.2020.100463 |numerical_claims: COVID-19_will_lower_the_growth_rates_of_China's_crop_and_livestock_sector_by_1.1%-2.3%_and_1.3%-2.6%,_respectively,_in_2020. |publish_time: 02/12/2020 |authors: Gong,_Binlei,_Zhang,_Shurui,_Liu,_Xiaoguang,_Chen,_Kevin_Z. |journal: Glob_Food_Sec |country: China |institution: Zhejiang_University
Linha 737 |claim_uid: 5jdovf |cord_uid: x78z7bui |title: The_Zoonotic_diseases,_agricultural_production,_and_impact_channels:_Evidence_from_China |doi: 10.1016/j.gfs.2020.100463 |numerical_claims: Corresponding_TFP_loss_will_be_1.1%-2.0%_in_crop_sector_and_1.4%-2.7%_in_livestock_sector. |publish_time: 02/12/2020 |authors: Gong,_Binlei,_Zhang,_Shurui,_Liu,_Xiaoguang,_Chen,_Kevin_Z. |journal: Glob_Food_Sec |country: China |institution: Zhejiang_University
Linha 738 |claim_uid: 6yivbp |cord_uid: x78z7bui |title: The_Zoonotic_diseases,_agricultural_production,_and_impact_channels:_Evidence_from_China |doi: 10.1016/j.gfs.2020.100463 |numerical_claims: Twenty-two_of_the_twenty-four_main_farm_commodities_would_suffer_both_output_and_TFP_loss_by_about_2_percent_on_average. |publish_time: 02/12/2020 |authors: Gong,_Binlei,_Zhang,_Shurui,_Liu,_Xiaoguang,_Chen,_Kevin_Z. |journal: Glob_Food_Sec |country: China |institution: Zhejiang_University
Linha 739 |claim_uid: 2qoryl |cord_uid: x78z7bui |title: The_Zoonotic_diseases,_agricultural_production,_and_impact_channels:_Evidence_from_China |doi: 10.1016/j.gfs.2020.100463 |numerical_claims: This_paper_projects_that_COVID-19_will_lower_the_growth_rates_of_China's_crop_and_livestock_sector_by_1.1%-2.3%_and_1.3%-2.6%,_respectively,_in_2020. |publish_time: 02/12/2020 |authors: Gong,_Binlei,_Zhang,_Shurui,_Liu,_Xiaoguang,_Chen,_Kevin_Z. |journal: Glob_Food_Sec |country: China |institution: Zhejiang_University
Linha 907 |claim_uid: 7qolzb |cord_uid: hu9ij3by |title: Dynamics_of_transmissible_gastroenteritis_virus_internalization_unraveled_by_single‐virus_tracking_in_live_cells |doi: 10.1096/fj.201902455r |numerical_claims: First,_10-fold_serially_diluted_aliquots_of_DiD-labeled_and_-unlabeled_TGEVs_were_used_to_confluent_monolayers_of_ST_cells_in_96-well_plates. |publish_time: 04/02/2020 |authors: Wang,_Jian,_Li,_Yangyang,_Wang,_Shouyu,_Liu,_Fei |journal: FASEB_J |country: China |institution: Nanjing_Agricultural_University
Linha 908 |claim_uid: 5dsnyg |cord_uid: hu9ij3by |title: Dynamics_of_transmissible_gastroenteritis_virus_internalization_unraveled_by_single‐virus_tracking_in_live_cells |doi: 10.1096/fj.201902455r |numerical_claims: Meanwhile,_according_to_Figures_2C_and_S2A,_the_TGEV_internalization_via_clathrin-mediated_endocytosis_could_be_completed_within_2_minutes_of_warm-up. |publish_time: 04/02/2020 |authors: Wang,_Jian,_Li,_Yangyang,_Wang,_Shouyu,_Liu,_Fei |journal: FASEB_J |country: China |institution: Nanjing_Agricultural_University
Linha 909 |claim_uid: 5dxvmy |cord_uid: hu9ij3by |title: Dynamics_of_transmissible_gastroenteritis_virus_internalization_unraveled_by_single‐virus_tracking_in_live_cells |doi: 10.1096/fj.201902455r |numerical_claims: Furthermore,_results_of_17_TGEV_entries_via_caveolae-mediated_endocytosis_show_that_the_average_duration_from_the_beginning_of_recruitment_of_Cav1_to_TGEV_entry_is_88.56_19.31_seconds,_and_according_to_Figures_3C_and_S2B,_the_TGEV_internalization_via_caveolae-mediated_endocytosis_could_be_finished_within_2_minutes_of_warm-up. |publish_time: 04/02/2020 |authors: Wang,_Jian,_Li,_Yangyang,_Wang,_Shouyu,_Liu,_Fei |journal: FASEB_J |country: China |institution: Nanjing_Agricultural_University
Linha 910 |claim_uid: 4ofvpt |cord_uid: hu9ij3by |title: Dynamics_of_transmissible_gastroenteritis_virus_internalization_unraveled_by_single‐virus_tracking_in_live_cells |doi: 10.1096/fj.201902455r |numerical_claims: According_to_the_pie_chart,_about_60.7%_of_TGEVs_could_be_internalized_via_clathrin-mediated_endocytosis_and_39.3%_of_TGEVs_could_be_internalized_via_caveolae-mediated_endocytosis_(_Figure_4C_). |publish_time: 04/02/2020 |authors: Wang,_Jian,_Li,_Yangyang,_Wang,_Shouyu,_Liu,_Fei |journal: FASEB_J |country: China |institution: Nanjing_Agricultural_University
Linha 911 |claim_uid: 8okudm |cord_uid: hu9ij3by |title: Dynamics_of_transmissible_gastroenteritis_virus_internalization_unraveled_by_single‐virus_tracking_in_live_cells |doi: 10.1096/fj.201902455r |numerical_claims: Moreover,_it_is_reported_that_TGEV_infection_can_stimulate_actin_gather_around_the_cell_membrane,_7_but_it_is_still_unclear_whether_the_accumulation_of_actin_is_directly_involved_in_the_TGEV_internalization. |publish_time: 04/02/2020 |authors: Wang,_Jian,_Li,_Yangyang,_Wang,_Shouyu,_Liu,_Fei |journal: FASEB_J |country: China |institution: Nanjing_Agricultural_University
Linha 912 |claim_uid: 1prwgd |cord_uid: hu9ij3by |title: Dynamics_of_transmissible_gastroenteritis_virus_internalization_unraveled_by_single‐virus_tracking_in_live_cells |doi: 10.1096/fj.201902455r |numerical_claims: Moreover,_the_effects_of_different_dynasore_concentrations_of_10,_50,_100,_500_μM_on_TGEV_infection_were_also_analyzed_using_qPCR_as_shown_in_Figure_6B,_indicating_that_the_relative_TGEV_levels_decreased_with_higher_dynasore_concentrations. |publish_time: 04/02/2020 |authors: Wang,_Jian,_Li,_Yangyang,_Wang,_Shouyu,_Liu,_Fei |journal: FASEB_J |country: China |institution: Nanjing_Agricultural_University
Linha 913 |claim_uid: 3dgcmy |cord_uid: hu9ij3by |title: Dynamics_of_transmissible_gastroenteritis_virus_internalization_unraveled_by_single‐virus_tracking_in_live_cells |doi: 10.1096/fj.201902455r |numerical_claims: Using_single-virus_tracking,_we_observed_that_the_TGEVs_entered_the_ST_cells_via_clathrin-and_caveolae-mediated_endocytosis,_and_the_entire_TGEV_internalization_could_be_completed_within_2_minutes_as_shown_in_Figure_7B_and_S2. |publish_time: 04/02/2020 |authors: Wang,_Jian,_Li,_Yangyang,_Wang,_Shouyu,_Liu,_Fei |journal: FASEB_J |country: China |institution: Nanjing_Agricultural_University
Linha 914 |claim_uid: 1xhpkt |cord_uid: hu9ij3by |title: Dynamics_of_transmissible_gastroenteritis_virus_internalization_unraveled_by_single‐virus_tracking_in_live_cells |doi: 10.1096/fj.201902455r |numerical_claims: We_observed_that_TGEVs_could_be_internalized_through_clathrin_and_caveolae_mediated_endocytosis,_and_the_internalization_of_TGEVs_was_almost_completed_within_2_minutes_after_TGEVs_attached_to_the_cell_membrane. |publish_time: 04/02/2020 |authors: Wang,_Jian,_Li,_Yangyang,_Wang,_Shouyu,_Liu,_Fei |journal: FASEB_J |country: China |institution: Nanjing_Agricultural_University
Linha 915 |claim_uid: 1wrncy |cord_uid: hu9ij3by |title: Dynamics_of_transmissible_gastroenteritis_virus_internalization_unraveled_by_single‐virus_tracking_in_live_cells |doi: 10.1096/fj.201902455r |numerical_claims: To_our_knowledge,_this_is_the_first_report_that_single_virus_tracking_technique_is_used_to_visualize_the_entire_dynamic_process_of_the_TGEV_internalization:_before_the_TGEV_internalization,_with_the_assistance_of_actin,_clathrin,_and_caveolin_1_would_gather_around_the_virus_to_form_the_vesicle_containing_the_TGEV,_and_after_60_seconds,_dynamin_2_would_be_recruited_to_promote_membrane_fission. |publish_time: 04/02/2020 |authors: Wang,_Jian,_Li,_Yangyang,_Wang,_Shouyu,_Liu,_Fei |journal: FASEB_J |country: China |institution: Nanjing_Agricultural_University
Linha 950 |claim_uid: 2jmhpo |cord_uid: eqpibuxu |title: Conservation_analysis_of_SARS-CoV-2_spike_suggests_complicated_viral_adaptation_history_from_bat_to_human |doi: 10.1093/emph/eoaa041 |numerical_claims: Phylogenetic_tree_was_constructed_using_neighbor-joining_method,_maximum_composite_likelihood_model_with_Gamma-distributed_site_rate_and_500_bootstrap_replications_in_MEGA_version_10.1.7. |publish_time: 05/11/2020 |authors: Lei,_Kuan_Cheok,_Zhang,_Xiaohua_Douglas |journal: Evol_Med_Public_Health |country: China |institution: University_of_Macau
Linha 951 |claim_uid: 6rebqo |cord_uid: eqpibuxu |title: Conservation_analysis_of_SARS-CoV-2_spike_suggests_complicated_viral_adaptation_history_from_bat_to_human |doi: 10.1093/emph/eoaa041 |numerical_claims: This_observation_can_be_reaffirmed_by_sequence_similarity_analysis,_in_which_PCoV-17_rather_than_PCoV-19_has_higher_similarity_next_to_BCoV-RaTG13_in_the_NTD_(76.32%_vs._51.10%). |publish_time: 05/11/2020 |authors: Lei,_Kuan_Cheok,_Zhang,_Xiaohua_Douglas |journal: Evol_Med_Public_Health |country: China |institution: University_of_Macau
Linha 357 |claim_uid: 4cfijz |cord_uid: l0oe3gs2 |title: Bibliometric_analysis_of_mental_health_during_the_COVID-19_pandemic |doi: 10.1016/j.ajp.2021.102846 |numerical_claims: Although_it_did_not_publish_as_many_documents,_the_University_of_Oxford,_with_435_citations_and_an_average_citation_of_29,_also_has_one_of_the_most_prominent_places_in_this_domain. |publish_time: 08/09/2021 |authors: Chen,_Ying,_Zhang,_Xiaojun,_Chen,_Shixiang,_Zhang,_Yanwen,_Wang,_Yulu,_Lu,_Qi,_Zhao,_Yue |journal: Asian_J_Psychiatr |country: China |institution: Tianjin_Medical_University
